Training model=base
{'config_format': 'markov', 'batch_size': 16, 'acc_steps': 1, 'seed': 0, 'device': device(type='cuda', index=0), 'iterations': 1000, 'lr': 0.002, 'warmup_percent': 0.02, 'weight_decay': 0.001, 'beta1': 0.9, 'beta2': 0.95, 'scheduler': 'cos', 'opt': 'adamw', 'eval_freq': 1, 'results_base_folder': './exps', 'grad_clip': 0.0, 'dataset': 'markov', 'vocab_size': 2, 'data_in_ram': False, 'model': 'base', 'use_pretrained': 'none', 'dropout': 0, 'n_head': 1, 'n_layer': 1, 'n_embd': 8, 'sequence_length': 1024, 'dtype': torch.float16, 'bias': False, 'no_compile': True, 'wandb': True, 'wandb_project': 'bias-test', 'wandb_run_prefix': 'none', 'eval_seq_prefix': '0', 'distributed_backend': None, 'p': 0.5, 'q': 0.5, 'order': 1, 'chain': 'random', 'memory': -1, 'initial': 'uniform', 'init': 'base', 'init_value': 1.0, 'world_size': 1}
9002
Markov transition matrix:
tensor([[0.1866, 0.8134],
        [0.9647, 0.0353]], device='cuda:0')
1 [train] loss=0.739 [val] loss=0.739, pp=2.09, acc=0.145325 [time per itr] 2103.10ms [lr] 0.00003
2 [train] loss=0.739 [val] loss=0.739, pp=2.09, acc=0.143945 [time per itr] 266.12ms [lr] 0.00007
3 [train] loss=0.739 [val] loss=0.738, pp=2.09, acc=0.146149 [time per itr] 263.85ms [lr] 0.00014
4 [train] loss=0.738 [val] loss=0.737, pp=2.09, acc=0.146716 [time per itr] 264.92ms [lr] 0.00023
5 [train] loss=0.738 [val] loss=0.735, pp=2.09, acc=0.150238 [time per itr] 268.73ms [lr] 0.00034
6 [train] loss=0.735 [val] loss=0.733, pp=2.08, acc=0.154181 [time per itr] 270.84ms [lr] 0.00047
7 [train] loss=0.733 [val] loss=0.730, pp=2.07, acc=0.161072 [time per itr] 264.61ms [lr] 0.00061
8 [train] loss=0.730 [val] loss=0.726, pp=2.07, acc=0.169537 [time per itr] 266.91ms [lr] 0.00077
9 [train] loss=0.726 [val] loss=0.721, pp=2.06, acc=0.179065 [time per itr] 264.36ms [lr] 0.00093
10 [train] loss=0.721 [val] loss=0.717, pp=2.05, acc=0.196771 [time per itr] 331.20ms [lr] 0.00109
11 [train] loss=0.716 [val] loss=0.712, pp=2.04, acc=0.214563 [time per itr] 267.36ms [lr] 0.00125
12 [train] loss=0.712 [val] loss=0.708, pp=2.03, acc=0.237842 [time per itr] 275.58ms [lr] 0.00141
13 [train] loss=0.708 [val] loss=0.704, pp=2.02, acc=0.258246 [time per itr] 263.16ms [lr] 0.00155
14 [train] loss=0.704 [val] loss=0.701, pp=2.02, acc=0.296423 [time per itr] 264.52ms [lr] 0.00168
15 [train] loss=0.701 [val] loss=0.698, pp=2.01, acc=0.347675 [time per itr] 265.28ms [lr] 0.00179
16 [train] loss=0.698 [val] loss=0.696, pp=2.01, acc=0.432324 [time per itr] 266.83ms [lr] 0.00188
17 [train] loss=0.696 [val] loss=0.695, pp=2.00, acc=0.491595 [time per itr] 267.31ms [lr] 0.00195
18 [train] loss=0.695 [val] loss=0.694, pp=2.00, acc=0.521906 [time per itr] 263.95ms [lr] 0.00199
19 [train] loss=0.694 [val] loss=0.693, pp=2.00, acc=0.537726 [time per itr] 266.04ms [lr] 0.00200
20 [train] loss=0.693 [val] loss=0.693, pp=2.00, acc=0.541974 [time per itr] 265.29ms [lr] 0.00200
21 [train] loss=0.693 [val] loss=0.693, pp=2.00, acc=0.542322 [time per itr] 263.09ms [lr] 0.00200
22 [train] loss=0.692 [val] loss=0.692, pp=2.00, acc=0.542633 [time per itr] 263.49ms [lr] 0.00200
23 [train] loss=0.692 [val] loss=0.692, pp=2.00, acc=0.542700 [time per itr] 262.59ms [lr] 0.00200
24 [train] loss=0.692 [val] loss=0.692, pp=2.00, acc=0.543353 [time per itr] 262.48ms [lr] 0.00200
25 [train] loss=0.692 [val] loss=0.692, pp=2.00, acc=0.542523 [time per itr] 264.13ms [lr] 0.00200
26 [train] loss=0.691 [val] loss=0.691, pp=2.00, acc=0.543719 [time per itr] 262.42ms [lr] 0.00200
27 [train] loss=0.692 [val] loss=0.691, pp=2.00, acc=0.542365 [time per itr] 262.34ms [lr] 0.00200
28 [train] loss=0.691 [val] loss=0.691, pp=2.00, acc=0.543005 [time per itr] 270.34ms [lr] 0.00200
29 [train] loss=0.691 [val] loss=0.691, pp=2.00, acc=0.542743 [time per itr] 266.98ms [lr] 0.00200
30 [train] loss=0.690 [val] loss=0.691, pp=1.99, acc=0.542407 [time per itr] 267.76ms [lr] 0.00200
31 [train] loss=0.690 [val] loss=0.690, pp=1.99, acc=0.543213 [time per itr] 301.95ms [lr] 0.00200
32 [train] loss=0.690 [val] loss=0.690, pp=1.99, acc=0.542126 [time per itr] 262.19ms [lr] 0.00200
33 [train] loss=0.690 [val] loss=0.689, pp=1.99, acc=0.542780 [time per itr] 266.29ms [lr] 0.00200
34 [train] loss=0.690 [val] loss=0.689, pp=1.99, acc=0.543134 [time per itr] 262.94ms [lr] 0.00200
35 [train] loss=0.689 [val] loss=0.688, pp=1.99, acc=0.543201 [time per itr] 262.70ms [lr] 0.00200
36 [train] loss=0.688 [val] loss=0.688, pp=1.99, acc=0.542706 [time per itr] 264.50ms [lr] 0.00200
37 [train] loss=0.687 [val] loss=0.687, pp=1.99, acc=0.543243 [time per itr] 262.92ms [lr] 0.00200
38 [train] loss=0.687 [val] loss=0.686, pp=1.99, acc=0.543494 [time per itr] 272.76ms [lr] 0.00200
39 [train] loss=0.686 [val] loss=0.684, pp=1.98, acc=0.544397 [time per itr] 264.24ms [lr] 0.00200
40 [train] loss=0.684 [val] loss=0.682, pp=1.98, acc=0.545160 [time per itr] 264.80ms [lr] 0.00200
41 [train] loss=0.682 [val] loss=0.679, pp=1.97, acc=0.548737 [time per itr] 264.54ms [lr] 0.00200
42 [train] loss=0.679 [val] loss=0.674, pp=1.96, acc=0.554358 [time per itr] 265.29ms [lr] 0.00200
43 [train] loss=0.674 [val] loss=0.668, pp=1.95, acc=0.576709 [time per itr] 263.63ms [lr] 0.00200
44 [train] loss=0.668 [val] loss=0.660, pp=1.93, acc=0.628278 [time per itr] 266.38ms [lr] 0.00200
45 [train] loss=0.660 [val] loss=0.649, pp=1.91, acc=0.710175 [time per itr] 262.02ms [lr] 0.00200
46 [train] loss=0.650 [val] loss=0.637, pp=1.89, acc=0.781781 [time per itr] 258.45ms [lr] 0.00200
47 [train] loss=0.637 [val] loss=0.624, pp=1.87, acc=0.825037 [time per itr] 262.75ms [lr] 0.00200
48 [train] loss=0.624 [val] loss=0.611, pp=1.84, acc=0.847095 [time per itr] 258.41ms [lr] 0.00200
