Training model=base
{'config_format': 'markov', 'batch_size': 16, 'acc_steps': 1, 'seed': 1, 'device': device(type='cuda', index=0), 'iterations': 10000, 'lr': 0.002, 'warmup_percent': 0.02, 'weight_decay': 0.001, 'beta1': 0.9, 'beta2': 0.95, 'scheduler': 'cos', 'opt': 'adamw', 'eval_freq': 1, 'results_base_folder': './exps', 'grad_clip': 0.0, 'dataset': 'markov', 'vocab_size': 2, 'data_in_ram': False, 'model': 'base', 'use_pretrained': 'none', 'dropout': 0, 'n_head': 1, 'n_layer': 2, 'n_embd': 16, 'sequence_length': 128, 'dtype': torch.float16, 'bias': False, 'no_compile': True, 'wandb': True, 'wandb_project': 'bias-test', 'wandb_run_prefix': 'none', 'eval_seq_prefix': '0', 'distributed_backend': None, 'p': 0.5, 'q': 0.5, 'order': 1, 'chain': 'random', 'memory': -1, 'initial': 'uniform', 'init': 'base', 'init_value': 1.0, 'world_size': 1}
8306
Markov transition matrix:
tensor([[0.6774, 0.3226],
        [0.5188, 0.4812]], device='cuda:0')
1 [train] loss=0.683 [val] loss=0.677, pp=1.97, acc=0.605908 [time per itr] 1705.48ms [lr] 0.00002
2 [train] loss=0.674 [val] loss=0.681, pp=1.98, acc=0.595410 [time per itr] 34.36ms [lr] 0.00002
3 [train] loss=0.679 [val] loss=0.680, pp=1.97, acc=0.599951 [time per itr] 36.33ms [lr] 0.00002
4 [train] loss=0.679 [val] loss=0.677, pp=1.97, acc=0.608252 [time per itr] 33.69ms [lr] 0.00002
5 [train] loss=0.680 [val] loss=0.677, pp=1.97, acc=0.605566 [time per itr] 35.19ms [lr] 0.00002
6 [train] loss=0.674 [val] loss=0.678, pp=1.97, acc=0.602783 [time per itr] 33.13ms [lr] 0.00002
7 [train] loss=0.681 [val] loss=0.677, pp=1.97, acc=0.606494 [time per itr] 33.24ms [lr] 0.00003
8 [train] loss=0.677 [val] loss=0.680, pp=1.97, acc=0.597217 [time per itr] 32.97ms [lr] 0.00003
9 [train] loss=0.670 [val] loss=0.678, pp=1.97, acc=0.600098 [time per itr] 32.90ms [lr] 0.00003
10 [train] loss=0.681 [val] loss=0.678, pp=1.97, acc=0.597412 [time per itr] 93.55ms [lr] 0.00003
11 [train] loss=0.683 [val] loss=0.678, pp=1.97, acc=0.598193 [time per itr] 33.10ms [lr] 0.00003
12 [train] loss=0.674 [val] loss=0.675, pp=1.96, acc=0.604688 [time per itr] 33.95ms [lr] 0.00004
13 [train] loss=0.676 [val] loss=0.677, pp=1.97, acc=0.600977 [time per itr] 34.25ms [lr] 0.00004
14 [train] loss=0.672 [val] loss=0.675, pp=1.96, acc=0.602246 [time per itr] 32.98ms [lr] 0.00004
15 [train] loss=0.678 [val] loss=0.674, pp=1.96, acc=0.605859 [time per itr] 34.67ms [lr] 0.00005
16 [train] loss=0.679 [val] loss=0.677, pp=1.97, acc=0.596729 [time per itr] 32.65ms [lr] 0.00005
17 [train] loss=0.679 [val] loss=0.675, pp=1.96, acc=0.601025 [time per itr] 32.97ms [lr] 0.00006
18 [train] loss=0.673 [val] loss=0.676, pp=1.97, acc=0.599072 [time per itr] 33.01ms [lr] 0.00006
19 [train] loss=0.668 [val] loss=0.675, pp=1.96, acc=0.599756 [time per itr] 32.60ms [lr] 0.00006
20 [train] loss=0.674 [val] loss=0.673, pp=1.96, acc=0.602197 [time per itr] 33.26ms [lr] 0.00007
21 [train] loss=0.677 [val] loss=0.672, pp=1.96, acc=0.605566 [time per itr] 33.01ms [lr] 0.00007
22 [train] loss=0.679 [val] loss=0.672, pp=1.96, acc=0.605029 [time per itr] 32.81ms [lr] 0.00008
23 [train] loss=0.668 [val] loss=0.673, pp=1.96, acc=0.600635 [time per itr] 32.88ms [lr] 0.00008
24 [train] loss=0.670 [val] loss=0.673, pp=1.96, acc=0.600439 [time per itr] 34.40ms [lr] 0.00009
25 [train] loss=0.675 [val] loss=0.672, pp=1.96, acc=0.599805 [time per itr] 34.70ms [lr] 0.00010
26 [train] loss=0.676 [val] loss=0.670, pp=1.95, acc=0.604395 [time per itr] 34.59ms [lr] 0.00010
27 [train] loss=0.664 [val] loss=0.672, pp=1.96, acc=0.597998 [time per itr] 33.96ms [lr] 0.00011
28 [train] loss=0.668 [val] loss=0.670, pp=1.95, acc=0.601025 [time per itr] 32.68ms [lr] 0.00012
29 [train] loss=0.669 [val] loss=0.668, pp=1.95, acc=0.603662 [time per itr] 33.57ms [lr] 0.00012
30 [train] loss=0.666 [val] loss=0.670, pp=1.95, acc=0.597217 [time per itr] 32.84ms [lr] 0.00013
31 [train] loss=0.666 [val] loss=0.669, pp=1.95, acc=0.599121 [time per itr] 34.39ms [lr] 0.00014
32 [train] loss=0.669 [val] loss=0.666, pp=1.95, acc=0.603418 [time per itr] 33.27ms [lr] 0.00014
33 [train] loss=0.664 [val] loss=0.667, pp=1.95, acc=0.600781 [time per itr] 33.04ms [lr] 0.00015
34 [train] loss=0.672 [val] loss=0.665, pp=1.95, acc=0.603564 [time per itr] 40.12ms [lr] 0.00016
35 [train] loss=0.668 [val] loss=0.664, pp=1.94, acc=0.604346 [time per itr] 33.89ms [lr] 0.00017
36 [train] loss=0.663 [val] loss=0.666, pp=1.95, acc=0.599268 [time per itr] 34.08ms [lr] 0.00018
37 [train] loss=0.665 [val] loss=0.661, pp=1.94, acc=0.607471 [time per itr] 34.01ms [lr] 0.00018
38 [train] loss=0.670 [val] loss=0.664, pp=1.94, acc=0.600830 [time per itr] 34.79ms [lr] 0.00019
39 [train] loss=0.661 [val] loss=0.661, pp=1.94, acc=0.608105 [time per itr] 32.72ms [lr] 0.00020
40 [train] loss=0.661 [val] loss=0.664, pp=1.94, acc=0.599219 [time per itr] 32.93ms [lr] 0.00021
41 [train] loss=0.660 [val] loss=0.661, pp=1.94, acc=0.606006 [time per itr] 33.07ms [lr] 0.00022
42 [train] loss=0.659 [val] loss=0.658, pp=1.93, acc=0.609424 [time per itr] 34.96ms [lr] 0.00023
43 [train] loss=0.661 [val] loss=0.658, pp=1.93, acc=0.611426 [time per itr] 34.02ms [lr] 0.00024
44 [train] loss=0.664 [val] loss=0.657, pp=1.93, acc=0.612109 [time per itr] 32.87ms [lr] 0.00025
45 [train] loss=0.648 [val] loss=0.655, pp=1.93, acc=0.617236 [time per itr] 33.07ms [lr] 0.00026
46 [train] loss=0.658 [val] loss=0.658, pp=1.93, acc=0.611426 [time per itr] 32.66ms [lr] 0.00027
47 [train] loss=0.655 [val] loss=0.658, pp=1.93, acc=0.612402 [time per itr] 34.29ms [lr] 0.00028
48 [train] loss=0.662 [val] loss=0.657, pp=1.93, acc=0.613867 [time per itr] 34.24ms [lr] 0.00029
49 [train] loss=0.651 [val] loss=0.651, pp=1.92, acc=0.627832 [time per itr] 34.34ms [lr] 0.00030
50 [train] loss=0.663 [val] loss=0.656, pp=1.93, acc=0.614600 [time per itr] 32.70ms [lr] 0.00031
51 [train] loss=0.659 [val] loss=0.653, pp=1.92, acc=0.623047 [time per itr] 32.38ms [lr] 0.00032
52 [train] loss=0.652 [val] loss=0.657, pp=1.93, acc=0.617773 [time per itr] 32.92ms [lr] 0.00034
53 [train] loss=0.655 [val] loss=0.657, pp=1.93, acc=0.616602 [time per itr] 33.11ms [lr] 0.00035
54 [train] loss=0.651 [val] loss=0.659, pp=1.93, acc=0.611230 [time per itr] 32.72ms [lr] 0.00036
55 [train] loss=0.664 [val] loss=0.656, pp=1.93, acc=0.618994 [time per itr] 32.90ms [lr] 0.00037
56 [train] loss=0.658 [val] loss=0.655, pp=1.92, acc=0.619482 [time per itr] 34.65ms [lr] 0.00038
57 [train] loss=0.658 [val] loss=0.655, pp=1.93, acc=0.619336 [time per itr] 34.36ms [lr] 0.00039
58 [train] loss=0.659 [val] loss=0.658, pp=1.93, acc=0.614648 [time per itr] 33.84ms [lr] 0.00041
59 [train] loss=0.653 [val] loss=0.656, pp=1.93, acc=0.618555 [time per itr] 35.12ms [lr] 0.00042
60 [train] loss=0.652 [val] loss=0.654, pp=1.92, acc=0.619971 [time per itr] 33.25ms [lr] 0.00043
61 [train] loss=0.659 [val] loss=0.653, pp=1.92, acc=0.620410 [time per itr] 37.20ms [lr] 0.00044
62 [train] loss=0.655 [val] loss=0.653, pp=1.92, acc=0.619580 [time per itr] 33.02ms [lr] 0.00046
63 [train] loss=0.650 [val] loss=0.653, pp=1.92, acc=0.620020 [time per itr] 33.12ms [lr] 0.00047
64 [train] loss=0.648 [val] loss=0.655, pp=1.93, acc=0.611328 [time per itr] 32.72ms [lr] 0.00048
65 [train] loss=0.660 [val] loss=0.653, pp=1.92, acc=0.615918 [time per itr] 33.29ms [lr] 0.00050
66 [train] loss=0.652 [val] loss=0.652, pp=1.92, acc=0.616162 [time per itr] 33.08ms [lr] 0.00051
67 [train] loss=0.666 [val] loss=0.651, pp=1.92, acc=0.614209 [time per itr] 32.29ms [lr] 0.00052
68 [train] loss=0.655 [val] loss=0.654, pp=1.92, acc=0.609277 [time per itr] 32.59ms [lr] 0.00054
69 [train] loss=0.656 [val] loss=0.651, pp=1.92, acc=0.612012 [time per itr] 34.33ms [lr] 0.00055
70 [train] loss=0.643 [val] loss=0.657, pp=1.93, acc=0.603320 [time per itr] 35.40ms [lr] 0.00057
71 [train] loss=0.652 [val] loss=0.655, pp=1.93, acc=0.604492 [time per itr] 34.47ms [lr] 0.00058
72 [train] loss=0.657 [val] loss=0.651, pp=1.92, acc=0.614893 [time per itr] 34.44ms [lr] 0.00059
73 [train] loss=0.650 [val] loss=0.650, pp=1.92, acc=0.614600 [time per itr] 32.44ms [lr] 0.00061
74 [train] loss=0.647 [val] loss=0.652, pp=1.92, acc=0.611133 [time per itr] 33.05ms [lr] 0.00062
75 [train] loss=0.659 [val] loss=0.651, pp=1.92, acc=0.616943 [time per itr] 33.91ms [lr] 0.00064
76 [train] loss=0.650 [val] loss=0.654, pp=1.92, acc=0.615088 [time per itr] 32.89ms [lr] 0.00065
77 [train] loss=0.653 [val] loss=0.654, pp=1.92, acc=0.610156 [time per itr] 32.91ms [lr] 0.00067
78 [train] loss=0.651 [val] loss=0.650, pp=1.92, acc=0.624365 [time per itr] 32.67ms [lr] 0.00068
79 [train] loss=0.653 [val] loss=0.655, pp=1.93, acc=0.616357 [time per itr] 32.94ms [lr] 0.00070
80 [train] loss=0.657 [val] loss=0.651, pp=1.92, acc=0.625732 [time per itr] 32.57ms [lr] 0.00071
81 [train] loss=0.652 [val] loss=0.654, pp=1.92, acc=0.615430 [time per itr] 34.59ms [lr] 0.00072
82 [train] loss=0.651 [val] loss=0.650, pp=1.92, acc=0.624121 [time per itr] 34.72ms [lr] 0.00074
83 [train] loss=0.661 [val] loss=0.654, pp=1.92, acc=0.614844 [time per itr] 35.17ms [lr] 0.00076
84 [train] loss=0.642 [val] loss=0.656, pp=1.93, acc=0.613721 [time per itr] 33.33ms [lr] 0.00077
85 [train] loss=0.653 [val] loss=0.652, pp=1.92, acc=0.620215 [time per itr] 32.67ms [lr] 0.00079
86 [train] loss=0.654 [val] loss=0.652, pp=1.92, acc=0.619531 [time per itr] 32.75ms [lr] 0.00080
87 [train] loss=0.654 [val] loss=0.650, pp=1.91, acc=0.620264 [time per itr] 33.09ms [lr] 0.00082
88 [train] loss=0.645 [val] loss=0.647, pp=1.91, acc=0.620020 [time per itr] 33.02ms [lr] 0.00083
89 [train] loss=0.650 [val] loss=0.654, pp=1.92, acc=0.610986 [time per itr] 33.06ms [lr] 0.00085
90 [train] loss=0.657 [val] loss=0.652, pp=1.92, acc=0.613379 [time per itr] 32.83ms [lr] 0.00086
91 [train] loss=0.663 [val] loss=0.654, pp=1.92, acc=0.606885 [time per itr] 32.97ms [lr] 0.00088
92 [train] loss=0.653 [val] loss=0.655, pp=1.92, acc=0.603955 [time per itr] 34.07ms [lr] 0.00089
93 [train] loss=0.656 [val] loss=0.652, pp=1.92, acc=0.607520 [time per itr] 34.47ms [lr] 0.00091
94 [train] loss=0.669 [val] loss=0.656, pp=1.93, acc=0.603174 [time per itr] 33.76ms [lr] 0.00092
95 [train] loss=0.650 [val] loss=0.651, pp=1.92, acc=0.611572 [time per itr] 34.23ms [lr] 0.00094
96 [train] loss=0.645 [val] loss=0.651, pp=1.92, acc=0.611426 [time per itr] 32.67ms [lr] 0.00096
97 [train] loss=0.651 [val] loss=0.651, pp=1.92, acc=0.613623 [time per itr] 32.49ms [lr] 0.00097
98 [train] loss=0.645 [val] loss=0.652, pp=1.92, acc=0.616211 [time per itr] 32.86ms [lr] 0.00099
99 [train] loss=0.641 [val] loss=0.651, pp=1.92, acc=0.617236 [time per itr] 32.81ms [lr] 0.00100
100 [train] loss=0.660 [val] loss=0.650, pp=1.91, acc=0.623096 [time per itr] 35.76ms [lr] 0.00102
101 [train] loss=0.639 [val] loss=0.651, pp=1.92, acc=0.618945 [time per itr] 33.84ms [lr] 0.00103
102 [train] loss=0.663 [val] loss=0.651, pp=1.92, acc=0.624414 [time per itr] 32.59ms [lr] 0.00105
103 [train] loss=0.646 [val] loss=0.655, pp=1.92, acc=0.614600 [time per itr] 33.02ms [lr] 0.00106
104 [train] loss=0.660 [val] loss=0.650, pp=1.91, acc=0.623926 [time per itr] 34.37ms [lr] 0.00108
105 [train] loss=0.648 [val] loss=0.655, pp=1.93, acc=0.617383 [time per itr] 34.26ms [lr] 0.00110
106 [train] loss=0.649 [val] loss=0.651, pp=1.92, acc=0.618945 [time per itr] 34.58ms [lr] 0.00111
107 [train] loss=0.645 [val] loss=0.651, pp=1.92, acc=0.620605 [time per itr] 41.62ms [lr] 0.00113
108 [train] loss=0.641 [val] loss=0.650, pp=1.91, acc=0.617676 [time per itr] 34.52ms [lr] 0.00114
109 [train] loss=0.656 [val] loss=0.650, pp=1.92, acc=0.622852 [time per itr] 34.68ms [lr] 0.00116
110 [train] loss=0.647 [val] loss=0.653, pp=1.92, acc=0.617432 [time per itr] 146.02ms [lr] 0.00117
111 [train] loss=0.644 [val] loss=0.654, pp=1.92, acc=0.619678 [time per itr] 33.36ms [lr] 0.00119
112 [train] loss=0.664 [val] loss=0.652, pp=1.92, acc=0.618213 [time per itr] 33.20ms [lr] 0.00120
113 [train] loss=0.656 [val] loss=0.655, pp=1.92, acc=0.614258 [time per itr] 32.76ms [lr] 0.00122
114 [train] loss=0.659 [val] loss=0.653, pp=1.92, acc=0.615283 [time per itr] 33.67ms [lr] 0.00123
115 [train] loss=0.658 [val] loss=0.653, pp=1.92, acc=0.617090 [time per itr] 34.12ms [lr] 0.00125
116 [train] loss=0.656 [val] loss=0.655, pp=1.92, acc=0.615430 [time per itr] 34.41ms [lr] 0.00126
117 [train] loss=0.665 [val] loss=0.654, pp=1.92, acc=0.613135 [time per itr] 34.90ms [lr] 0.00128
118 [train] loss=0.649 [val] loss=0.652, pp=1.92, acc=0.617676 [time per itr] 35.18ms [lr] 0.00130
119 [train] loss=0.648 [val] loss=0.650, pp=1.92, acc=0.623389 [time per itr] 32.77ms [lr] 0.00131
120 [train] loss=0.659 [val] loss=0.651, pp=1.92, acc=0.619434 [time per itr] 32.86ms [lr] 0.00132
121 [train] loss=0.650 [val] loss=0.653, pp=1.92, acc=0.613379 [time per itr] 32.67ms [lr] 0.00134
122 [train] loss=0.659 [val] loss=0.652, pp=1.92, acc=0.616650 [time per itr] 32.78ms [lr] 0.00135
123 [train] loss=0.666 [val] loss=0.650, pp=1.92, acc=0.613232 [time per itr] 33.11ms [lr] 0.00137
